participant,File_ID,pt_location,age_group,pt_location_age_group,expName,date,excerpt_label_final,excerpt_name_original,genre_code,familiarity_specific_level,song_batch,no_thought_rate,creation_time_Acc,familiarity_specific_rated,thought_or_not_response.keys,have_thought_input.text,have_thought_input.text_EDIT,Artists_composers_singers_etc_mentioned,song_piece_titles_mentioned,media_or_fictional_characters_or_titles_mentioned,PossibleExclusion,no_thought_input.text,rating_Q1_music_related.response,rating_Q2_spontaneous.response,rating_Q3_reality.response,general_rating_Q1_familiarity.response,general_rating_Q2_enjoy.response,textbox_attnCheck.text,demographics.headphones,demographics.age,demographics.gender,demographics.livingCountry,demographics.birthCountry,demographics.nativeLangue,demographics.otherLanguage,demographics.otherLanguageText,demographics.hearingImpairments,demographics.hearingImpairmentsText,demographics.education,demographics.musicianIdentification,demographics.feedback,have_thoughts.started,have_thoughts.stopped,no_thought.started,no_thought.stopped,have_thoughts.RT,no_thought.RT,have_thought_word_count,no_thought_word_count,have_thought_input_text_EDIT_word_count,spelling_corrected,spelling_check_original_words,spelling_check_new_words,spelling_check_original_words_number,spelling_check_new_words_number
543782,MEI_UK18to30_2024-07-03_13h55.48.477_543782.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-03_13h55.48.477,Met_H_11,new-clip_Metal_HIGH_Killing_In_The_Name.mp3,Met,H,11,0.058823529,NA,3.205882353,y,I imagined a scene in which i was working hard in the gym and another racing a car,I imagined a scene in which i was working hard in the gym and another racing a car,,,,,,4,3,4,4,4,,TRUE,30,Male,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,3,2,NA,259.9161,332.7576,363.9357,363.9413,72.8415,NA,18,0,18,No,NA,NA,NA,NA
315904,MEI_UK18to30_2024-07-03_14h01.00.469_315904.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-03_14h01.00.469,Jaz_L_03,new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,Jaz,L,3,0.171428571,NA,1.342857143,y,the music reminds me of playing on the wii with my siblings as i was younger. quite quirky sounds that are similar to wii music,the music reminds me of playing on the wii with my siblings as i was younger. quite quirky sounds that are similar to wii music,,,Wii,,,5,3,2,1,3,,TRUE,20,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,4,3,NA,501.8994,544.4174,555.6835,555.6862,42.518,NA,25,0,25,No,NA,NA,NA,NA
126889,MEI_UK18to30_2024-07-11_05h09.08.762_126889.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_05h09.08.762,Met_H_12,new-clip_Metal_HIGH_Chop_Suey.mp3,Met,H,12,0.088235294,NA,2.794117647,y,i can picture being in a nice car on the highway; a classic convertible ,i can picture being in a nice car on the highway; a classic convertible ,,,,,,5,3,2,2,5,,TRUE,24,Female,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,3,2,NA,430.3352,465.1008,479.3018,479.3067,34.7656,NA,14,0,14,No,NA,NA,NA,NA
291796,MEI_UK18to30_2024-07-11_12h20.03.882_291796.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h20.03.882,Fil_L_06,new-clip_Film_MED_Hoffa_Trailer.mp3,Fil,L,6,0.0625,NA,1.34375,y,i imagined the sort of basic spy movie like james bond but also action movies like the fast and furious ,i imagined the sort of basic spy movie like james bond but also action movies like the fast and furious ,,,"James Bond, Fast and Furious",,,5,4,4,4,3,,TRUE,18,Male,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,3,2,NA,171.3154,221.916,238.8752,238.8766,50.6006,NA,20,0,20,No,NA,NA,NA,NA
873604,MEI_UK18to30_2024-07-11_12h27.18.329_873604.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h27.18.329,60s_H_03,new-clip_60s_HIGH_Crimson_and_Clover_-Single_Version-.mp3,60s,H,3,0.088235294,0.323529412,2.411764706,y,"Farmer. At first he is hanging out with his cow, but then he gets in his tractor and starts driving it about in the field","Farmer. At first he is hanging out with his cow, but then he gets in his tractor and starts driving it about in the field",,,,,,5,4,3,1,3,,TRUE,18,Female,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,3,3,NA,312.4162,347.8322,357.7476,357.7491,35.416,NA,25,0,25,No,NA,NA,NA,NA
873604,MEI_UK18to30_2024-07-11_12h27.18.329_873604.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h27.18.329,80s_H_03,new-clip_80s_HIGH_Total_Eclipse_of_the_Heart.mp3,80s,H,3,0.033333333,0.733333333,3.733333333,y,Slow motion shot of group of people walking away from each other in separate directions after a reunion. Feels like the end of a tv series and characters have just said their goodbyes for the lasttime and it is bittersweet,Slow motion shot of group of people walking away from each other in separate directions after a reunion. Feels like the end of a tv series and characters have just said their goodbyes for the last time and it is bittersweet,,,,,,5,4,3,2,3,,TRUE,18,Female,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,3,3,NA,910.5559,992.4148,999.4797,999.4813,81.8589,NA,40,0,41,Yes,lasttime,last time,1,2
357264,MEI_UK18to30_2024-07-11_12h40.08.021_357264.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h40.08.021,60s_H_05,new-clip_60s_MED_Blue_Eyes_Crying_In_the_Rain.mp3,60s,H,5,0.064516129,0.35483871,1.741935484,y,Ballroom dancing. Classy people.,Ballroom dancing. Classy people.,,,,,,5,4,5,2,3,banana,TRUE,26,Male,United Kingdom,United Kingdom,English,TRUE,Bengali,FALSE,NA,3,2,NA,534.8676,566.2483,580.3206,580.3227,31.3807,NA,4,0,4,No,NA,NA,NA,NA
656393,MEI_UK18to30_2024-07-11_12h43.05.610_656393.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h43.05.610,Jaz_L_03,new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,Jaz,L,3,0.171428571,NA,1.342857143,y,"jazz bar, low light, red glass lampshades","jazz bar, low light, red glass lampshades",,,,,,4,2,5,1,3,,TRUE,22,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,2,NA,152.3846,196.0972,211.9532,211.9568,43.7126,NA,7,0,7,No,NA,NA,NA,NA
998041,MEI_US31to45_2024-07-15_09h45.30.635_998041.csv,US,Age31to45,US_Age31to45,MEI_US31to45,2024-07-15_09h45.30.635,Amb_H_01,new-clip_Ambient_HIGH_A_Walk.mp3,Amb,H,1,0.125,NA,1.71875,y,"Me, waking up in the morning. The song would probably be from my morning alarm.","Me, waking up in the morning. The song would probably be from my morning alarm.",,,,,,4,3,2,1,3,,TRUE,38,Male,United States,United States,English,FALSE,NA,FALSE,NA,5,2,NA,447.4078,478.5936,491.4159,491.4172,31.1858,NA,15,0,15,No,NA,NA,NA,NA
313242,MEI_US31to45_2024-07-15_10h07.59.556_313242.csv,US,Age31to45,US_Age31to45,MEI_US31to45,2024-07-15_10h07.59.556,60s_L_11,new-clip_60s_MED_Through_with_You.mp3,60s,L,11,0.09375,0.15625,1.4375,y,"the movie puss n boots, roadtrip music, hanging out and relaxing","the movie puss n boots, road trip music, hanging out and relaxing",,,,,,5,4,3,1,4,,TRUE,41,Female,United States,United States,English,FALSE,NA,FALSE,NA,5,4,"I felt a little rushed only having one minute to write down my thoughts. I did enjoy seeing what each clip of music made me think.  I wonder what the difference between musicians versus non-musicians experience of music, is it different?",785.4215,822.4942,856.1936,856.1997,37.0727,NA,11,0,12,Yes,roadtrip,road trip,1,2
